round_id,agent_count,byzantine_count,byzantine_ratio,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,outlier_count
217,3,0,0.00,0.75,true,98.0761,98.0761,1.0000,0,1.0000,0
218,3,0,0.00,0.75,true,98.3712,98.3712,1.0000,0,1.0000,0
219,3,0,0.00,0.75,true,101.0133,101.0133,1.0000,0,1.0000,0
220,3,0,0.00,0.75,true,98.6223,98.6223,1.0000,0,1.0000,0
221,3,0,0.00,0.75,true,95.5199,95.5199,1.0000,0,1.0000,0
222,3,0,0.00,0.75,true,96.6623,96.6623,1.0000,0,1.0000,0
223,3,0,0.00,0.75,true,95.2569,95.2569,1.0000,0,1.0000,0
224,3,0,0.00,0.75,true,101.3567,101.3567,1.0000,0,1.0000,0
225,3,0,0.00,0.75,true,99.7365,99.7365,1.0000,0,1.0000,0
226,3,0,0.00,0.75,true,101.4600,101.4600,1.0000,0,1.0000,0
227,3,0,0.00,0.75,true,97.2675,97.2675,1.0000,0,1.0000,0
228,3,0,0.00,0.75,true,97.0285,97.0285,1.0000,0,1.0000,0
229,3,0,0.00,0.75,true,101.8702,101.8702,1.0000,0,1.0000,0
230,3,0,0.00,0.75,true,106.9150,106.9150,1.0000,0,1.0000,0
231,3,0,0.00,0.75,true,101.0018,101.0018,1.0000,0,1.0000,0
232,3,0,0.00,0.75,true,103.6229,103.6229,1.0000,0,1.0000,0
233,3,0,0.00,0.75,true,104.8319,104.8319,1.0000,0,1.0000,0
234,3,0,0.00,0.75,true,99.6236,99.6236,1.0000,0,1.0000,0
235,3,0,0.00,0.75,true,95.6833,95.6833,1.0000,0,1.0000,0
236,3,0,0.00,0.75,true,95.6603,95.6603,1.0000,0,1.0000,0
237,3,0,0.00,0.75,true,102.1604,102.1604,1.0000,0,1.0000,0
238,3,0,0.00,0.75,true,92.6351,92.6351,1.0000,0,1.0000,0
239,3,0,0.00,0.75,true,101.9174,101.9174,1.0000,0,1.0000,0
240,3,0,0.00,0.80,true,105.2966,105.2966,1.0000,0,1.0000,0
241,3,0,0.00,0.80,true,99.2754,99.2754,1.0000,0,1.0000,0
242,3,0,0.00,0.80,true,98.8489,98.8489,1.0000,0,1.0000,0
243,3,0,0.00,0.80,true,99.0997,99.0997,1.0000,0,1.0000,0
244,3,0,0.00,0.80,true,102.1625,102.1625,1.0000,0,1.0000,0
245,3,0,0.00,0.80,true,95.1832,95.1832,1.0000,0,1.0000,0
246,3,0,0.00,0.80,true,98.1633,98.1633,1.0000,0,1.0000,0
247,3,0,0.00,0.80,true,97.1507,97.1507,1.0000,0,1.0000,0
248,3,0,0.00,0.80,true,96.2960,96.2960,1.0000,0,1.0000,0
249,3,0,0.00,0.80,true,97.4561,97.4561,1.0000,0,1.0000,0
250,3,0,0.00,0.80,true,98.6329,98.6329,1.0000,0,1.0000,0
251,3,0,0.00,0.80,true,102.6411,102.6411,1.0000,0,1.0000,0
252,3,0,0.00,0.80,true,98.4710,98.4710,1.0000,0,1.0000,0
253,3,0,0.00,0.80,true,99.6468,99.6468,1.0000,0,1.0000,0
254,3,0,0.00,0.80,true,98.1055,98.1055,1.0000,0,1.0000,0
255,3,0,0.00,0.80,true,100.1582,100.1582,1.0000,0,1.0000,0
256,3,0,0.00,0.80,true,96.9727,96.9727,1.0000,0,1.0000,0
257,3,0,0.00,0.80,true,104.8392,104.8392,1.0000,0,1.0000,0
258,3,0,0.00,0.80,true,106.1547,106.1547,1.0000,0,1.0000,0
259,3,0,0.00,0.80,true,104.2488,104.2488,1.0000,0,1.0000,0
260,3,0,0.00,0.80,true,96.8219,96.8219,1.0000,0,1.0000,0
261,3,0,0.00,0.80,true,100.1215,100.1215,1.0000,0,1.0000,0
262,3,0,0.00,0.80,true,98.8493,98.8493,1.0000,0,1.0000,0
263,3,0,0.00,0.80,true,99.4600,99.4600,1.0000,0,1.0000,0
264,3,0,0.00,0.80,true,99.6770,99.6770,1.0000,0,1.0000,0
265,3,0,0.00,0.80,true,94.9729,94.9729,1.0000,0,1.0000,0
266,3,0,0.00,0.80,true,98.6658,98.6658,1.0000,0,1.0000,0
267,3,0,0.00,0.80,true,95.1325,95.1325,1.0000,0,1.0000,0
268,3,0,0.00,0.80,true,100.6999,100.6999,1.0000,0,1.0000,0
269,3,0,0.00,0.80,true,94.4791,94.4791,1.0000,0,1.0000,0
270,3,0,0.00,0.85,true,101.4422,101.4422,1.0000,0,1.0000,0
271,3,0,0.00,0.85,true,103.7059,103.7059,1.0000,0,1.0000,0
272,3,0,0.00,0.85,true,99.0925,99.0925,1.0000,0,1.0000,0
273,3,0,0.00,0.85,true,102.3551,102.3551,1.0000,0,1.0000,0
274,3,0,0.00,0.85,true,103.0647,103.0647,1.0000,0,1.0000,0
275,3,0,0.00,0.85,true,98.8268,98.8268,1.0000,0,1.0000,0
276,3,0,0.00,0.85,true,102.3673,102.3673,1.0000,0,1.0000,0
277,3,0,0.00,0.85,true,95.1733,95.1733,1.0000,0,1.0000,0
278,3,0,0.00,0.85,true,99.8046,99.8046,1.0000,0,1.0000,0
279,3,0,0.00,0.85,true,93.3112,93.3112,1.0000,0,1.0000,0
280,3,0,0.00,0.85,true,97.5279,97.5279,1.0000,0,1.0000,0
281,3,0,0.00,0.85,true,102.9149,102.9149,1.0000,0,1.0000,0
282,3,0,0.00,0.85,true,104.6794,104.6794,1.0000,0,1.0000,0
283,3,0,0.00,0.85,true,98.6254,98.6254,1.0000,0,1.0000,0
284,3,0,0.00,0.85,true,98.9601,98.9601,1.0000,0,1.0000,0
285,3,0,0.00,0.85,true,98.1827,98.1827,1.0000,0,1.0000,0
286,3,0,0.00,0.85,true,101.5934,101.5934,1.0000,0,1.0000,0
287,3,0,0.00,0.85,true,99.8995,99.8995,1.0000,0,1.0000,0
288,3,0,0.00,0.85,true,105.4091,105.4091,1.0000,0,1.0000,0
289,3,0,0.00,0.85,true,107.0010,107.0010,1.0000,0,1.0000,0
290,3,0,0.00,0.85,true,102.0758,102.0758,1.0000,0,1.0000,0
291,3,0,0.00,0.85,true,98.5942,98.5942,1.0000,0,1.0000,0
292,3,0,0.00,0.85,true,104.2810,104.2810,1.0000,0,1.0000,0
293,3,0,0.00,0.85,true,96.8899,96.8899,1.0000,0,1.0000,0
294,3,0,0.00,0.85,true,96.8649,96.8649,1.0000,0,1.0000,0
295,3,0,0.00,0.85,true,99.1390,99.1390,1.0000,0,1.0000,0
296,3,0,0.00,0.85,true,100.4969,100.4969,1.0000,0,1.0000,0
297,3,0,0.00,0.85,true,97.9715,97.9715,1.0000,0,1.0000,0
298,3,0,0.00,0.85,true,97.7692,97.7692,1.0000,0,1.0000,0
299,3,0,0.00,0.85,true,100.5460,100.5460,1.0000,0,1.0000,0
300,3,0,0.00,0.90,true,101.4986,101.4986,1.0000,0,1.0000,0
301,3,0,0.00,0.90,true,98.4007,98.4007,1.0000,0,1.0000,0
302,3,0,0.00,0.90,true,97.6621,97.6621,1.0000,0,1.0000,0
303,3,0,0.00,0.90,true,102.3386,102.3386,1.0000,0,1.0000,0
304,3,0,0.00,0.90,true,100.6678,100.6678,1.0000,0,1.0000,0
305,3,0,0.00,0.90,true,105.3650,105.3650,1.0000,0,1.0000,0
306,3,0,0.00,0.90,true,97.2118,97.2118,1.0000,0,1.0000,0
307,3,0,0.00,0.90,true,105.8478,105.8478,1.0000,0,1.0000,0
308,3,0,0.00,0.90,true,103.9869,103.9869,1.0000,0,1.0000,0
309,3,0,0.00,0.90,true,94.9369,94.9369,1.0000,0,1.0000,0
310,3,0,0.00,0.90,true,94.5200,94.5200,1.0000,0,1.0000,0
311,3,0,0.00,0.90,true,105.4711,105.4711,1.0000,0,1.0000,0
312,3,0,0.00,0.90,true,101.1857,101.1857,1.0000,0,1.0000,0
313,3,0,0.00,0.90,true,102.2589,102.2589,1.0000,0,1.0000,0
314,3,0,0.00,0.90,true,93.7397,93.7397,1.0000,0,1.0000,0
315,3,0,0.00,0.90,true,101.0312,101.0312,1.0000,0,1.0000,0
316,3,0,0.00,0.90,true,99.9363,99.9363,1.0000,0,1.0000,0
317,3,0,0.00,0.90,true,101.2104,101.2104,1.0000,0,1.0000,0
318,3,0,0.00,0.90,true,98.7714,98.7714,1.0000,0,1.0000,0
319,3,0,0.00,0.90,true,107.0354,107.0354,1.0000,0,1.0000,0
320,3,0,0.00,0.90,true,95.0700,95.0700,1.0000,0,1.0000,0
321,3,0,0.00,0.90,true,104.8431,104.8431,1.0000,0,1.0000,0
322,3,0,0.00,0.90,true,99.6285,99.6285,1.0000,0,1.0000,0
323,3,0,0.00,0.90,true,99.2522,99.2522,1.0000,0,1.0000,0
324,3,0,0.00,0.90,true,103.8974,103.8974,1.0000,0,1.0000,0
325,3,0,0.00,0.90,true,101.2249,101.2249,1.0000,0,1.0000,0
326,3,0,0.00,0.90,true,102.0792,102.0792,1.0000,0,1.0000,0
327,3,0,0.00,0.90,true,98.7656,98.7656,1.0000,0,1.0000,0
328,3,0,0.00,0.90,true,98.9643,98.9643,1.0000,0,1.0000,0
329,3,0,0.00,0.90,true,96.5951,96.5951,1.0000,0,1.0000,0
330,3,0,0.00,0.95,true,101.0861,101.0861,1.0000,0,1.0000,0
331,3,0,0.00,0.95,true,98.4340,98.4340,1.0000,0,1.0000,0
332,3,0,0.00,0.95,true,102.8757,102.8757,1.0000,0,1.0000,0
333,3,0,0.00,0.95,true,95.7735,95.7735,1.0000,0,1.0000,0
334,3,0,0.00,0.95,true,98.2049,98.2049,1.0000,0,1.0000,0
335,3,0,0.00,0.95,true,102.1875,102.1875,1.0000,0,1.0000,0
336,3,0,0.00,0.95,true,96.2505,96.2505,1.0000,0,1.0000,0
337,3,0,0.00,0.95,true,100.9642,100.9642,1.0000,0,1.0000,0
338,3,0,0.00,0.95,true,100.4027,100.4027,1.0000,0,1.0000,0
339,3,0,0.00,0.95,true,102.3269,102.3269,1.0000,0,1.0000,0
